#
# This file contains the first 61158 Unicode characters. It can be used to inspect the coverage of fonts
#
\u0020 #  
\uAC4C # 걌
\uAC4D # 걍
\uAC4E # 걎
\uAC4F # 걏
\uAC50 # 걐
\uAC51 # 걑
\uAC52 # 걒
\uAC53 # 걓
\uAC54 # 걔
\uAC55 # 걕
\uAC56 # 걖
\uAC57 # 걗
\uAC58 # 걘
\uAC59 # 걙
\uAC5A # 걚
\uAC5B # 걛
\uAC5C # 걜
\uAC5D # 걝
\uAC5E # 걞
\uAC5F # 걟
\uAC60 # 걠
\uAC61 # 걡
\uAC62 # 걢
\uAC63 # 걣
\uAC64 # 걤
\uAC65 # 걥
\uAC66 # 걦
\uAC67 # 걧
\uAC68 # 걨
\uAC69 # 걩
\uAC6A # 걪
\uAC6B # 걫
\uAC6C # 걬
\uAC6D # 걭
\uAC6E # 걮
\uAC6F # 걯
\uAC70 # 거
\uAC71 # 걱
\uAC72 # 걲
\uAC73 # 걳
\uAC74 # 건
\uAC75 # 걵
\uAC76 # 걶
\uAC77 # 걷
\uAC78 # 걸
\uAC79 # 걹
\uAC7A # 걺
\uAC7B # 걻
\uAC7C # 걼
\uAC7D # 걽
\uAC7E # 걾
\uAC7F # 걿
\uAC80 # 검
\uAC81 # 겁
\uAC82 # 겂
\uAC83 # 것
\uAC84 # 겄
\uAC85 # 겅
\uAC86 # 겆
\uAC87 # 겇
\uAC88 # 겈
\uAC89 # 겉
\uAC8A # 겊
\uAC8B # 겋
\uAC8C # 게
\uAC8D # 겍
\uAC8E # 겎
\uAC8F # 겏
\uAC90 # 겐
\uAC91 # 겑
\uAC92 # 겒
\uAC93 # 겓
\uAC94 # 겔
\uAC95 # 겕
\uAC96 # 겖
\uAC97 # 겗
\uAC98 # 겘
\uAC99 # 겙
\uAC9A # 겚
\uAC9B # 겛
\uAC9C # 겜
\uAC9D # 겝
\uAC9E # 겞
\uAC9F # 겟
\uACA0 # 겠
\uACA1 # 겡
\uACA2 # 겢
\uACA3 # 겣
\uACA4 # 겤
\uACA5 # 겥
\uACA6 # 겦
\uACA7 # 겧
\uACA8 # 겨
\uACA9 # 격
\uACAA # 겪
\uACAB # 겫
\uACAC # 견
\uACAD # 겭
\uACAE # 겮
\uACAF # 겯
\uACB0 # 결
\uACB1 # 겱
\uACB2 # 겲
\uACB3 # 겳
\uACB4 # 겴
\uACB5 # 겵
\uACB6 # 겶
\uACB7 # 겷
\uACB8 # 겸
\uACB9 # 겹
\uACBA # 겺
\uACBB # 겻
\uACBC # 겼
\uACBD # 경
\uACBE # 겾
\uACBF # 겿
\uACC0 # 곀
\uACC1 # 곁
\uACC2 # 곂
\uACC3 # 곃
\uACC4 # 계
\uACC5 # 곅
\uACC6 # 곆
\uACC7 # 곇
\uACC8 # 곈
\uACC9 # 곉
\uACCA # 곊
\uACCB # 곋
\uACCC # 곌
\uACCD # 곍
\uACCE # 곎
\uACCF # 곏
\uACD0 # 곐
\uACD1 # 곑
\uACD2 # 곒
\uACD3 # 곓
\uACD4 # 곔
\uACD5 # 곕
\uACD6 # 곖
\uACD7 # 곗
\uACD8 # 곘
\uACD9 # 곙
\uACDA # 곚
\uACDB # 곛
\uACDC # 곜
\uACDD # 곝
\uACDE # 곞
\uACDF # 곟
\uACE0 # 고
\uACE1 # 곡
\uACE2 # 곢
\uACE3 # 곣
\uACE4 # 곤
\uACE5 # 곥
\uACE6 # 곦
\uACE7 # 곧
\uACE8 # 골
\uACE9 # 곩
\uACEA # 곪
\uACEB # 곫
\uACEC # 곬
\uACED # 곭
\uACEE # 곮
\uACEF # 곯
\uACF0 # 곰
\uACF1 # 곱
\uACF2 # 곲
\uACF3 # 곳
\uACF4 # 곴
\uACF5 # 공
\uACF6 # 곶
\uACF7 # 곷
\uACF8 # 곸
\uACF9 # 곹
\uACFA # 곺
\uACFB # 곻
\uACFC # 과
\uACFD # 곽
\uACFE # 곾
\uACFF # 곿
\uAD00 # 관
\uAD01 # 괁
\uAD02 # 괂
\uAD03 # 괃
\uAD04 # 괄
\uAD05 # 괅
\uAD06 # 괆
\uAD07 # 괇
\uAD08 # 괈
\uAD09 # 괉
\uAD0A # 괊
\uAD0B # 괋
\uAD0C # 괌
\uAD0D # 괍
\uAD0E # 괎
\uAD0F # 괏
\uAD10 # 괐
\uAD11 # 광
\uAD12 # 괒
\uAD13 # 괓
\uAD14 # 괔
\uAD15 # 괕
\uAD16 # 괖
\uAD17 # 괗
\uAD18 # 괘
\uAD19 # 괙
\uAD1A # 괚
\uAD1B # 괛
\uAD1C # 괜
\uAD1D # 괝
\uAD1E # 괞
\uAD1F # 괟
\uAD20 # 괠
\uAD21 # 괡
\uAD22 # 괢
\uAD23 # 괣
\uAD24 # 괤
\uAD25 # 괥
\uAD26 # 괦
\uAD27 # 괧
\uAD28 # 괨
\uAD29 # 괩
\uAD2A # 괪
\uAD2B # 괫
\uAD2C # 괬
\uAD2D # 괭
\uAD2E # 괮
\uAD2F # 괯
\uAD30 # 괰
\uAD31 # 괱
\uAD32 # 괲
\uAD33 # 괳
\uAD34 # 괴
\uAD35 # 괵
\uAD36 # 괶
\uAD37 # 괷
\uAD38 # 괸
\uAD39 # 괹
\uAD3A # 괺
\uAD3B # 괻
\uAD3C # 괼
\uAD3D # 괽
\uAD3E # 괾
\uAD3F # 괿
\uAD40 # 굀
\uAD41 # 굁
\uAD42 # 굂
\uAD43 # 굃
\uAD44 # 굄
\uAD45 # 굅
\uAD46 # 굆
\uAD47 # 굇
\uAD48 # 굈
\uAD49 # 굉
\uAD4A # 굊
\uAD4B # 굋
\uAD4C # 굌
\uAD4D # 굍
\uAD4E # 굎
\uAD4F # 굏
\uAD50 # 교
\uAD51 # 굑
\uAD52 # 굒
\uAD53 # 굓
\uAD54 # 굔
\uAD55 # 굕
\uAD56 # 굖
\uAD57 # 굗
\uAD58 # 굘
\uAD59 # 굙
\uAD5A # 굚
\uAD5B # 굛
\uAD5C # 굜
\uAD5D # 굝
\uAD5E # 굞
\uAD5F # 굟
\uAD60 # 굠
\uAD61 # 굡
\uAD62 # 굢
\uAD63 # 굣
\uAD64 # 굤
\uAD65 # 굥
\uAD66 # 굦
\uAD67 # 굧
\uAD68 # 굨
\uAD69 # 굩
\uAD6A # 굪
\uAD6B # 굫
\uAD6C # 구
\uAD6D # 국
\uAD6E # 굮
\uAD6F # 굯
\uAD70 # 군
\uAD71 # 굱
\uAD72 # 굲
\uAD73 # 굳
\uAD74 # 굴
\uAD75 # 굵
\uAD76 # 굶
\uAD77 # 굷
\uAD78 # 굸
\uAD79 # 굹
\uAD7A # 굺
\uAD7B # 굻
\uAD7C # 굼
\uAD7D # 굽
\uAD7E # 굾
\uAD7F # 굿
\uAD80 # 궀
\uAD81 # 궁
\uAD82 # 궂
\uAD83 # 궃
\uAD84 # 궄
\uAD85 # 궅
\uAD86 # 궆
\uAD87 # 궇
\uAD88 # 궈
\uAD89 # 궉
\uAD8A # 궊
\uAD8B # 궋
\uAD8C # 권
\uAD8D # 궍
\uAD8E # 궎
\uAD8F # 궏
\uAD90 # 궐
\uAD91 # 궑
\uAD92 # 궒
\uAD93 # 궓
\uAD94 # 궔
\uAD95 # 궕
\uAD96 # 궖
\uAD97 # 궗
\uAD98 # 궘
\uAD99 # 궙
\uAD9A # 궚
\uAD9B # 궛
\uAD9C # 궜
\uAD9D # 궝
\uAD9E # 궞
\uAD9F # 궟
\uADA0 # 궠
\uADA1 # 궡
\uADA2 # 궢
\uADA3 # 궣
\uADA4 # 궤
\uADA5 # 궥
\uADA6 # 궦
\uADA7 # 궧
\uADA8 # 궨
\uADA9 # 궩
\uADAA # 궪
\uADAB # 궫
\uADAC # 궬
\uADAD # 궭
\uADAE # 궮
\uADAF # 궯
\uADB0 # 궰
\uADB1 # 궱
\uADB2 # 궲
\uADB3 # 궳
\uADB4 # 궴
\uADB5 # 궵
\uADB6 # 궶
\uADB7 # 궷
\uADB8 # 궸
\uADB9 # 궹
\uADBA # 궺
\uADBB # 궻
\uADBC # 궼
\uADBD # 궽
\uADBE # 궾
\uADBF # 궿
\uADC0 # 귀
\uADC1 # 귁
\uADC2 # 귂
\uADC3 # 귃
\uADC4 # 귄
\uADC5 # 귅
\uADC6 # 귆
\uADC7 # 귇
\uADC8 # 귈
\uADC9 # 귉
\uADCA # 귊
\uADCB # 귋
\uADCC # 귌
\uADCD # 귍
\uADCE # 귎
\uADCF # 귏
\uADD0 # 귐
\uADD1 # 귑
\uADD2 # 귒
\uADD3 # 귓
\uADD4 # 귔
\uADD5 # 귕
\uADD6 # 귖
\uADD7 # 귗
\uADD8 # 귘
\uADD9 # 귙
\uADDA # 귚
\uADDB # 귛
\uADDC # 규
\uADDD # 귝
\uADDE # 귞
\uADDF # 귟
\uADE0 # 균
\uADE1 # 귡
\uADE2 # 귢
\uADE3 # 귣
\uADE4 # 귤
\uADE5 # 귥
\uADE6 # 귦
\uADE7 # 귧
\uADE8 # 귨
\uADE9 # 귩
\uADEA # 귪
\uADEB # 귫
\uADEC # 귬
\uADED # 귭
\uADEE # 귮
\uADEF # 귯
\uADF0 # 귰
\uADF1 # 귱
\uADF2 # 귲
\uADF3 # 귳
\uADF4 # 귴
\uADF5 # 귵
\uADF6 # 귶
\uADF7 # 귷
\uADF8 # 그
\uADF9 # 극
\uADFA # 귺
\uADFB # 귻
\uADFC # 근
\uADFD # 귽
\uADFE # 귾
\uADFF # 귿
\uAE00 # 글
\uAE01 # 긁
\uAE02 # 긂
\uAE03 # 긃
\uAE04 # 긄
\uAE05 # 긅
\uAE06 # 긆
\uAE07 # 긇
\uAE08 # 금
\uAE09 # 급
\uAE0A # 긊
\uAE0B # 긋
\uAE0C # 긌
\uAE0D # 긍
\uAE0E # 긎
\uAE0F # 긏
\uAE10 # 긐
\uAE11 # 긑
\uAE12 # 긒
\uAE13 # 긓
\uAE14 # 긔
\uAE15 # 긕
\uAE16 # 긖
\uAE17 # 긗
\uAE18 # 긘
\uAE19 # 긙
\uAE1A # 긚
\uAE1B # 긛
\uAE1C # 긜
\uAE1D # 긝
\uAE1E # 긞
\uAE1F # 긟
\uAE20 # 긠
\uAE21 # 긡
\uAE22 # 긢
\uAE23 # 긣
\uAE24 # 긤
\uAE25 # 긥
\uAE26 # 긦
\uAE27 # 긧
\uAE28 # 긨
\uAE29 # 긩
\uAE2A # 긪
\uAE2B # 긫
\uAE2C # 긬
\uAE2D # 긭
\uAE2E # 긮
\uAE2F # 긯
\uAE30 # 기
\uAE31 # 긱
\uAE32 # 긲
\uAE33 # 긳
\uAE34 # 긴
\uAE35 # 긵
\uAE36 # 긶
\uAE37 # 긷
\uAE38 # 길
\uAE39 # 긹
\uAE3A # 긺
\uAE3B # 긻
\uAE3C # 긼
\uAE3D # 긽
\uAE3E # 긾
\uAE3F # 긿
\uAE40 # 김
\uAE41 # 깁
\uAE42 # 깂
\uAE43 # 깃
\uAE44 # 깄
\uAE45 # 깅
\uAE46 # 깆
\uAE47 # 깇
\uAE48 # 깈
\uAE49 # 깉
\uAE4A # 깊
\uAE4B # 깋
\uAE4C # 까
\uAE4D # 깍
\uAE4E # 깎
\uAE4F # 깏
\uAE50 # 깐
\uAE51 # 깑
\uAE52 # 깒
\uAE53 # 깓
\uAE54 # 깔
\uAE55 # 깕
\uAE56 # 깖
\uAE57 # 깗
\uAE58 # 깘
\uAE59 # 깙
\uAE5A # 깚
\uAE5B # 깛
\uAE5C # 깜
\uAE5D # 깝
\uAE5E # 깞
\uAE5F # 깟
\uAE60 # 깠
\uAE61 # 깡
\uAE62 # 깢
\uAE63 # 깣
\uAE64 # 깤
\uAE65 # 깥
\uAE66 # 깦
\uAE67 # 깧
\uAE68 # 깨
\uAE69 # 깩
\uAE6A # 깪
\uAE6B # 깫
\uAE6C # 깬
\uAE6D # 깭
\uAE6E # 깮
\uAE6F # 깯
\uAE70 # 깰
\uAE71 # 깱
\uAE72 # 깲
\uAE73 # 깳
\uAE74 # 깴
\uAE75 # 깵
\uAE76 # 깶
\uAE77 # 깷
\uAE78 # 깸
\uAE79 # 깹
\uAE7A # 깺
\uAE7B # 깻
\uAE7C # 깼
\uAE7D # 깽
\uAE7E # 깾
\uAE7F # 깿
\uAE80 # 꺀
\uAE81 # 꺁
\uAE82 # 꺂
\uAE83 # 꺃
\uAE84 # 꺄
\uAE85 # 꺅
\uAE86 # 꺆
\uAE87 # 꺇
\uAE88 # 꺈
\uAE89 # 꺉
\uAE8A # 꺊
\uAE8B # 꺋
\uAE8C # 꺌
\uAE8D # 꺍
\uAE8E # 꺎
\uAE8F # 꺏
\uAE90 # 꺐
\uAE91 # 꺑
\uAE92 # 꺒
\uAE93 # 꺓
\uAE94 # 꺔
\uAE95 # 꺕
\uAE96 # 꺖
\uAE97 # 꺗
\uAE98 # 꺘
\uAE99 # 꺙
\uAE9A # 꺚
\uAE9B # 꺛
\uAE9C # 꺜
\uAE9D # 꺝
\uAE9E # 꺞
\uAE9F # 꺟
\uAEA0 # 꺠
\uAEA1 # 꺡
\uAEA2 # 꺢
\uAEA3 # 꺣
\uAEA4 # 꺤
\uAEA5 # 꺥
\uAEA6 # 꺦
\uAEA7 # 꺧
\uAEA8 # 꺨
\uAEA9 # 꺩
\uAEAA # 꺪
\uAEAB # 꺫
\uAEAC # 꺬
\uAEAD # 꺭
\uAEAE # 꺮
\uAEAF # 꺯
\uAEB0 # 꺰
\uAEB1 # 꺱
\uAEB2 # 꺲
\uAEB3 # 꺳
\uAEB4 # 꺴
\uAEB5 # 꺵
\uAEB6 # 꺶
\uAEB7 # 꺷
\uAEB8 # 꺸
\uAEB9 # 꺹
\uAEBA # 꺺
\uAEBB # 꺻
\uAEBC # 꺼
\uAEBD # 꺽
\uAEBE # 꺾
\uAEBF # 꺿
\uAEC0 # 껀
\uAEC1 # 껁
\uAEC2 # 껂
\uAEC3 # 껃
\uAEC4 # 껄
\uAEC5 # 껅
\uAEC6 # 껆
\uAEC7 # 껇
\uAEC8 # 껈
\uAEC9 # 껉
\uAECA # 껊
\uAECB # 껋
\uAECC # 껌
\uAECD # 껍
\uAECE # 껎
\uAECF # 껏
\uAED0 # 껐
\uAED1 # 껑
\uAED2 # 껒
\uAED3 # 껓
\uAED4 # 껔
\uAED5 # 껕
\uAED6 # 껖
\uAED7 # 껗
\uAED8 # 께
\uAED9 # 껙
\uAEDA # 껚
\uAEDB # 껛
\uAEDC # 껜
\uAEDD # 껝
\uAEDE # 껞
\uAEDF # 껟
\uAEE0 # 껠
\uAEE1 # 껡
\uAEE2 # 껢
\uAEE3 # 껣
\uAEE4 # 껤
\uAEE5 # 껥
\uAEE6 # 껦
\uAEE7 # 껧
\uAEE8 # 껨
\uAEE9 # 껩
\uAEEA # 껪
\uAEEB # 껫
\uAEEC # 껬
\uAEED # 껭
\uAEEE # 껮
\uAEEF # 껯
\uAEF0 # 껰
\uAEF1 # 껱
\uAEF2 # 껲
\uAEF3 # 껳
\uAEF4 # 껴
\uAEF5 # 껵
\uAEF6 # 껶
\uAEF7 # 껷
\uAEF8 # 껸
\uAEF9 # 껹
\uAEFA # 껺
\uAEFB # 껻
\uAEFC # 껼
\uAEFD # 껽
\uAEFE # 껾
\uAEFF # 껿
\uAF00 # 꼀
\uAF01 # 꼁
\uAF02 # 꼂
\uAF03 # 꼃
\uAF04 # 꼄
\uAF05 # 꼅
\uAF06 # 꼆
\uAF07 # 꼇
\uAF08 # 꼈
\uAF09 # 꼉
\uAF0A # 꼊
\uAF0B # 꼋
\uAF0C # 꼌
\uAF0D # 꼍
\uAF0E # 꼎
\uAF0F # 꼏
\uAF10 # 꼐
\uAF11 # 꼑
\uAF12 # 꼒
\uAF13 # 꼓
\uAF14 # 꼔
\uAF15 # 꼕
\uAF16 # 꼖
\uAF17 # 꼗
\uAF18 # 꼘
\uAF19 # 꼙
\uAF1A # 꼚
\uAF1B # 꼛
\uAF1C # 꼜
\uAF1D # 꼝
\uAF1E # 꼞
\uAF1F # 꼟
\uAF20 # 꼠
\uAF21 # 꼡
\uAF22 # 꼢
\uAF23 # 꼣
\uAF24 # 꼤
\uAF25 # 꼥
\uAF26 # 꼦
\uAF27 # 꼧
\uAF28 # 꼨
\uAF29 # 꼩
\uAF2A # 꼪
\uAF2B # 꼫
\uAF2C # 꼬
\uAF2D # 꼭
\uAF2E # 꼮
\uAF2F # 꼯
\uAF30 # 꼰
\uAF31 # 꼱
\uAF32 # 꼲
\uAF33 # 꼳
\uAF34 # 꼴
\uAF35 # 꼵
\uAF36 # 꼶
\uAF37 # 꼷
\uAF38 # 꼸
\uAF39 # 꼹
\uAF3A # 꼺
\uAF3B # 꼻
\uAF3C # 꼼
\uAF3D # 꼽
\uAF3E # 꼾
\uAF3F # 꼿
\uAF40 # 꽀
\uAF41 # 꽁
\uAF42 # 꽂
\uAF43 # 꽃
\uAF44 # 꽄
\uAF45 # 꽅
\uAF46 # 꽆
\uAF47 # 꽇
\uAF48 # 꽈
\uAF49 # 꽉
\uAF4A # 꽊
\uAF4B # 꽋
\uAF4C # 꽌
\uAF4D # 꽍
\uAF4E # 꽎
\uAF4F # 꽏
\uAF50 # 꽐
\uAF51 # 꽑
\uAF52 # 꽒
\uAF53 # 꽓
\uAF54 # 꽔
\uAF55 # 꽕
\uAF56 # 꽖
\uAF57 # 꽗
\uAF58 # 꽘
\uAF59 # 꽙
\uAF5A # 꽚
\uAF5B # 꽛
\uAF5C # 꽜
\uAF5D # 꽝
\uAF5E # 꽞
\uAF5F # 꽟
\uAF60 # 꽠
\uAF61 # 꽡
\uAF62 # 꽢
\uAF63 # 꽣
\uAF64 # 꽤
\uAF65 # 꽥
\uAF66 # 꽦
\uAF67 # 꽧
\uAF68 # 꽨
\uAF69 # 꽩
\uAF6A # 꽪
\uAF6B # 꽫
\uAF6C # 꽬
\uAF6D # 꽭
\uAF6E # 꽮
\uAF6F # 꽯
\uAF70 # 꽰
\uAF71 # 꽱
\uAF72 # 꽲
\uAF73 # 꽳
\uAF74 # 꽴
\uAF75 # 꽵
\uAF76 # 꽶
\uAF77 # 꽷
\uAF78 # 꽸
\uAF79 # 꽹
\uAF7A # 꽺
\uAF7B # 꽻
\uAF7C # 꽼
\uAF7D # 꽽
\uAF7E # 꽾
\uAF7F # 꽿
\uAF80 # 꾀
\uAF81 # 꾁
\uAF82 # 꾂
\uAF83 # 꾃
\uAF84 # 꾄
\uAF85 # 꾅
\uAF86 # 꾆
\uAF87 # 꾇
\uAF88 # 꾈
\uAF89 # 꾉
\uAF8A # 꾊
\uAF8B # 꾋
\uAF8C # 꾌
\uAF8D # 꾍
\uAF8E # 꾎
\uAF8F # 꾏
\uAF90 # 꾐
\uAF91 # 꾑
\uAF92 # 꾒
\uAF93 # 꾓
\uAF94 # 꾔
\uAF95 # 꾕
\uAF96 # 꾖
\uAF97 # 꾗
\uAF98 # 꾘
\uAF99 # 꾙
\uAF9A # 꾚
\uAF9B # 꾛
\uAF9C # 꾜
\uAF9D # 꾝
\uAF9E # 꾞
\uAF9F # 꾟
\uAFA0 # 꾠
\uAFA1 # 꾡
\uAFA2 # 꾢
\uAFA3 # 꾣
\uAFA4 # 꾤
\uAFA5 # 꾥
\uAFA6 # 꾦
\uAFA7 # 꾧
\uAFA8 # 꾨
\uAFA9 # 꾩
\uAFAA # 꾪
\uAFAB # 꾫
\uAFAC # 꾬
\uAFAD # 꾭
\uAFAE # 꾮
\uAFAF # 꾯
\uAFB0 # 꾰
\uAFB1 # 꾱
\uAFB2 # 꾲
\uAFB3 # 꾳
\uAFB4 # 꾴
\uAFB5 # 꾵
\uAFB6 # 꾶
\uAFB7 # 꾷
\uAFB8 # 꾸
\uAFB9 # 꾹
\uAFBA # 꾺
\uAFBB # 꾻
\uAFBC # 꾼
\uAFBD # 꾽
\uAFBE # 꾾
\uAFBF # 꾿
\uAFC0 # 꿀
\uAFC1 # 꿁
\uAFC2 # 꿂
\uAFC3 # 꿃
\uAFC4 # 꿄
\uAFC5 # 꿅
\uAFC6 # 꿆
\uAFC7 # 꿇
\uAFC8 # 꿈
\uAFC9 # 꿉
\uAFCA # 꿊
\uAFCB # 꿋
\uAFCC # 꿌
\uAFCD # 꿍
\uAFCE # 꿎
\uAFCF # 꿏
\uAFD0 # 꿐
\uAFD1 # 꿑
\uAFD2 # 꿒
\uAFD3 # 꿓
\uAFD4 # 꿔
\uAFD5 # 꿕
\uAFD6 # 꿖
\uAFD7 # 꿗
\uAFD8 # 꿘
\uAFD9 # 꿙
\uAFDA # 꿚
\uAFDB # 꿛
\uAFDC # 꿜
\uAFDD # 꿝
\uAFDE # 꿞
\uAFDF # 꿟
\uAFE0 # 꿠
\uAFE1 # 꿡
\uAFE2 # 꿢
\uAFE3 # 꿣
\uAFE4 # 꿤
\uAFE5 # 꿥
\uAFE6 # 꿦
\uAFE7 # 꿧
\uAFE8 # 꿨
\uAFE9 # 꿩
\uAFEA # 꿪
\uAFEB # 꿫
\uAFEC # 꿬
\uAFED # 꿭
\uAFEE # 꿮
\uAFEF # 꿯
\uAFF0 # 꿰
\uAFF1 # 꿱
\uAFF2 # 꿲
\uAFF3 # 꿳
\uAFF4 # 꿴
\uAFF5 # 꿵
\uAFF6 # 꿶
\uAFF7 # 꿷
\uAFF8 # 꿸
\uAFF9 # 꿹
\uAFFA # 꿺
\uAFFB # 꿻
\uAFFC # 꿼
\uAFFD # 꿽
\uAFFE # 꿾
\uAFFF # 꿿
\uB000 # 뀀
\uB001 # 뀁
\uB002 # 뀂
\uB003 # 뀃
\uB004 # 뀄
\uB005 # 뀅
\uB006 # 뀆
\uB007 # 뀇
\uB008 # 뀈
\uB009 # 뀉
\uB00A # 뀊
\uB00B # 뀋
\uB00C # 뀌
\uB00D # 뀍
\uB00E # 뀎
\uB00F # 뀏
\uB010 # 뀐
\uB011 # 뀑
\uB012 # 뀒
\uB013 # 뀓
\uB014 # 뀔
\uB015 # 뀕
\uB016 # 뀖
\uB017 # 뀗
\uB018 # 뀘
\uB019 # 뀙
\uB01A # 뀚
\uB01B # 뀛
\uB01C # 뀜
\uB01D # 뀝
\uB01E # 뀞
\uB01F # 뀟
\uB020 # 뀠
\uB021 # 뀡
\uB022 # 뀢
\uB023 # 뀣
\uB024 # 뀤
\uB025 # 뀥
\uB026 # 뀦
\uB027 # 뀧
\uB028 # 뀨
\uB029 # 뀩
\uB02A # 뀪
\uB02B # 뀫
\uB02C # 뀬
\uB02D # 뀭
\uB02E # 뀮
\uB02F # 뀯
\uB030 # 뀰
\uB031 # 뀱
\uB032 # 뀲
\uB033 # 뀳
\uB034 # 뀴
\uB035 # 뀵
\uB036 # 뀶
\uB037 # 뀷
\uB038 # 뀸
\uB039 # 뀹
\uB03A # 뀺
\uB03B # 뀻
\uB03C # 뀼
\uB03D # 뀽
\uB03E # 뀾
\uB03F # 뀿
\uB040 # 끀
\uB041 # 끁
\uB042 # 끂
\uB043 # 끃
\uB044 # 끄
\uB045 # 끅
\uB046 # 끆
\uB047 # 끇
\uB048 # 끈
\uB049 # 끉
\uB04A # 끊
\uB04B # 끋
\uB04C # 끌
\uB04D # 끍
\uB04E # 끎
\uB04F # 끏
\uB050 # 끐
\uB051 # 끑
\uB052 # 끒
\uB053 # 끓
\uB054 # 끔
\uB055 # 끕
\uB056 # 끖
\uB057 # 끗
\uB058 # 끘
\uB059 # 끙
\uB05A # 끚
\uB05B # 끛
\uB05C # 끜
\uB05D # 끝
\uB05E # 끞
\uB05F # 끟
\uB060 # 끠
\uB061 # 끡
\uB062 # 끢
\uB063 # 끣
\uB064 # 끤
\uB065 # 끥
\uB066 # 끦
\uB067 # 끧
\uB068 # 끨
\uB069 # 끩
\uB06A # 끪
\uB06B # 끫
\uB06C # 끬
\uB06D # 끭
\uB06E # 끮
\uB06F # 끯
\uB070 # 끰
\uB071 # 끱
\uB072 # 끲
\uB073 # 끳
\uB074 # 끴
\uB075 # 끵
\uB076 # 끶
\uB077 # 끷
\uB078 # 끸
\uB079 # 끹
\uB07A # 끺
\uB07B # 끻
\uB07C # 끼
\uB07D # 끽
\uB07E # 끾
\uB07F # 끿
\uB080 # 낀
\uB081 # 낁
\uB082 # 낂
\uB083 # 낃
\uB084 # 낄
\uB085 # 낅
\uB086 # 낆
\uB087 # 낇
\uB088 # 낈
\uB089 # 낉
\uB08A # 낊
\uB08B # 낋
\uB08C # 낌
\uB08D # 낍
\uB08E # 낎
\uB08F # 낏
\uB090 # 낐
\uB091 # 낑
\uB092 # 낒
\uB093 # 낓
\uB094 # 낔
\uB095 # 낕
\uB096 # 낖
\uB097 # 낗
\uB098 # 나
\uB099 # 낙
\uB09A # 낚
\uB09B # 낛
\uB09C # 난
\uB09D # 낝
\uB09E # 낞
\uB09F # 낟
\uB0A0 # 날
\uB0A1 # 낡
\uB0A2 # 낢
\uB0A3 # 낣
\uB0A4 # 낤
\uB0A5 # 낥
\uB0A6 # 낦
\uB0A7 # 낧
\uB0A8 # 남
\uB0A9 # 납
\uB0AA # 낪
\uB0AB # 낫
\uB0AC # 났
\uB0AD # 낭
\uB0AE # 낮
\uB0AF # 낯
\uB0B0 # 낰
\uB0B1 # 낱
\uB0B2 # 낲
\uB0B3 # 낳
\uB0B4 # 내
\uB0B5 # 낵
\uB0B6 # 낶
\uB0B7 # 낷
\uB0B8 # 낸
\uB0B9 # 낹
\uB0BA # 낺
\uB0BB # 낻
\uB0BC # 낼
\uB0BD # 낽
\uB0BE # 낾
\uB0BF # 낿
\uB0C0 # 냀
\uB0C1 # 냁
\uB0C2 # 냂
\uB0C3 # 냃
\uB0C4 # 냄
\uB0C5 # 냅
\uB0C6 # 냆
\uB0C7 # 냇
\uB0C8 # 냈
\uB0C9 # 냉
\uB0CA # 냊
\uB0CB # 냋
\uB0CC # 냌
\uB0CD # 냍
\uB0CE # 냎
\uB0CF # 냏
\uB0D0 # 냐
\uB0D1 # 냑
\uB0D2 # 냒
\uB0D3 # 냓
\uB0D4 # 냔
\uB0D5 # 냕
\uB0D6 # 냖
\uB0D7 # 냗
\uB0D8 # 냘
\uB0D9 # 냙
\uB0DA # 냚
\uB0DB # 냛
\uB0DC # 냜
\uB0DD # 냝
\uB0DE # 냞
\uB0DF # 냟
\uB0E0 # 냠
\uB0E1 # 냡
\uB0E2 # 냢
\uB0E3 # 냣
\uB0E4 # 냤
\uB0E5 # 냥
\uB0E6 # 냦
\uB0E7 # 냧
\uB0E8 # 냨
\uB0E9 # 냩
\uB0EA # 냪
\uB0EB # 냫
\uB0EC # 냬
\uB0ED # 냭
\uB0EE # 냮
\uB0EF # 냯
\uB0F0 # 냰
\uB0F1 # 냱
\uB0F2 # 냲
\uB0F3 # 냳
\uB0F4 # 냴
\uB0F5 # 냵
\uB0F6 # 냶
\uB0F7 # 냷
\uB0F8 # 냸
\uB0F9 # 냹
\uB0FA # 냺
\uB0FB # 냻
\uB0FC # 냼
\uB0FD # 냽
\uB0FE # 냾
\uB0FF # 냿
\uB100 # 넀
\uB101 # 넁
\uB102 # 넂
\uB103 # 넃
\uB104 # 넄
\uB105 # 넅
\uB106 # 넆
\uB107 # 넇
\uB108 # 너
\uB109 # 넉
\uB10A # 넊
\uB10B # 넋
\uB10C # 넌
\uB10D # 넍
\uB10E # 넎
\uB10F # 넏
\uB110 # 널
\uB111 # 넑
\uB112 # 넒
\uB113 # 넓
\uB114 # 넔
\uB115 # 넕
\uB116 # 넖
\uB117 # 넗
\uB118 # 넘
\uB119 # 넙
\uB11A # 넚
\uB11B # 넛
\uB11C # 넜
\uB11D # 넝
\uB11E # 넞
\uB11F # 넟
\uB120 # 넠
\uB121 # 넡
\uB122 # 넢
\uB123 # 넣
\uB124 # 네
\uB125 # 넥
\uB126 # 넦
\uB127 # 넧
\uB128 # 넨
\uB129 # 넩
\uB12A # 넪
\uB12B # 넫
